bs,bs1,bs2,bs2_1,bs3,bs4_1,c10_1,c1_1,c2_1,c2_2,c2_3,c3_1,c3_2,c3_3,c3_4,c3_5,c3_6,c3_7,c3_8,c4,c5,c6_1,c6_2,c6_3,c7,c8_1,c8_2,c8_3,c8_4,c8_5,c8_6,c9_1,c_total,ct10,ct12,ct13,ct14,ct15_1,ct16,ct1_1,ct1_2,ct1_3,ct1_4,ct2_1,ct2_2,ct2_3,ct3_1,ct3_2,ct3_3,ct3_4,ct4,ct5,ct6_1,ct7_1,ct7_2,ct8_1,ct8_2,ct8_3,ct9_1,f1_1,f2_1,f2_2,f3_1,f3_2,f3_3,f3_4,f3_5,f4_1,f5,f6_1,l1_1,l1_2,l1_3,l1_4,l1_5,l1_6,l2_1,l2_2,l2_3,l2_4,l3_1,l3_2,l3_3,l3_4,l4_1,l4_2,l4_3,l4_4,l_total,c_total,ct_total,f_total,l_sum,c_sum,ct_sum,f_sum,l_avg,c_avg,ct_avg,f_avg,total
1,5,2,1,1,6,0.67,0.83,0.67,0.67,0.67,0.67,1,0.83,0.83,0.33,0.67,0.17,0.33,0.5,0.5,1,1,1,0,1,1,0.5,0.67,0.83,1,0.83,26,0.14,0.11,0.75,0.5,0.67,0,0.5,0.67,0.33,0.5,0.67,0.67,0.5,0.83,1,0.67,0.83,,,0,0.67,0.67,0.17,0.33,0.33,0.67,1,1,1,0.5,0.83,0.67,0.83,0.83,1,1,1,0.83,0.33,0.67,0.33,0.33,0.33,0.5,0.33,0.5,0.83,0.17,0.83,0.67,0.67,0.83,0.83,0.67,0.67,18,26,26,11,10.32,18.17,12.18,9.66,14.33,17.47,11.71,21.95,50.33
1,5,2,2,1,6,0.67,0.83,0.67,0.67,0.67,0.67,1,0.83,0.83,0.33,0.67,0.17,0.33,0.5,0.5,1,1,1,0,1,1,0.5,0.67,0.83,1,0.83,26,0.14,0.11,0.75,0.5,0.67,0,0.5,0.67,0.33,0.5,0.67,0.67,0.5,0.83,1,0.67,0.83,,,0,0.67,0.67,0.17,0.33,0.33,0.67,1,1,1,0.5,0.83,0.67,0.83,0.83,1,1,1,0.83,0.33,0.67,0.33,0.33,0.33,0.5,0.33,0.5,0.83,0.17,0.83,0.67,0.67,0.83,0.83,0.67,0.67,18,26,26,11,10.32,18.17,12.18,9.66,14.33,17.47,11.71,21.95,50.33
1,7,3,1,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0.83,1,1,26,0.5,0.89,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,1,0.83,0.83,1,1,0.83,1,1,1,1,1,1,1,1,1,1,0.5,0.67,0,0.17,0,0.83,0.33,0.83,0.67,0.83,0.83,0.67,1,0.33,1,1,1,1,1,18,26,26,11,12.16,24.33,20.55,10.5,16.89,23.39,19.76,23.86,67.54
1,7,3,2,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0.83,1,1,26,0.5,0.89,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,1,0.83,0.83,1,1,0.83,1,1,1,1,1,1,1,1,1,1,0.5,0.67,0,0.17,0,0.83,0.33,0.83,0.67,0.83,0.83,0.67,1,0.33,1,1,1,1,1,18,26,26,11,12.16,24.33,20.55,10.5,16.89,23.39,19.76,23.86,67.54
1,7,3,3,0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0,1,1,1,1,0.83,1,1,26,0.5,0.89,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,1,0.83,0.83,1,1,0.83,1,1,1,1,1,1,1,1,1,1,0.5,0.67,0,0.17,0,0.83,0.33,0.83,0.67,0.83,0.83,0.67,1,0.33,1,1,1,1,1,18,26,26,11,12.16,24.33,20.55,10.5,16.89,23.39,19.76,23.86,67.54
1,2,1,1,0,4,0.83,0.83,0.67,0.67,1,0.67,0.5,0.67,0.67,0.5,0.5,0.83,0.67,0.5,0.5,1,1,1,0,1,1,1,1,1,1,1,26,0.57,0.22,1,0.5,1,0,1,1,1,1,1,1,1,0.67,0.83,1,1,0.33,,0.17,0.83,0.83,0.83,1,0.83,0.33,0.83,1,1,0.5,0.83,0.83,0.83,0.83,0.67,0.75,0.5,0.83,0.5,0.83,0.83,0.5,0.83,0.5,0.33,0.33,0.5,0.17,0.17,0.17,0.33,0.83,0.83,0.67,0.67,18,26,26,11,9.82,20.01,18.94,8.57,13.64,19.24,18.21,19.48,57.34
1,17,2,1,1,5,0.83,0.83,1,0.83,1,1,1,1,1,1,0.83,1,1,1,0.5,1,1,1,0,1,1,1,1,1,1,1,26,0.5,0.5,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0.83,1,1,0.83,0.67,0.67,0.67,1,1,0.83,0.67,0.83,0.83,0.83,1,0.83,0.75,0.5,0.83,0.17,0.17,0.17,0.5,0.5,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.83,0.83,0.83,0.83,18,26,26,11,12.64,23.82,20.17,9.07,17.56,22.90,19.39,20.61,65.70
1,17,2,2,1,5,0.83,0.83,1,0.83,1,1,1,1,1,1,0.83,1,1,1,0.5,1,1,1,0,1,1,1,1,1,1,1,26,0.5,0.5,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0.83,1,1,0.83,0.67,0.67,0.67,1,1,0.83,0.67,0.83,0.83,0.83,1,0.83,0.75,0.5,0.83,0.17,0.17,0.17,0.5,0.5,0.83,0.83,0.83,1,0.83,0.83,0.83,1,0.83,0.83,0.83,0.83,18,26,26,11,12.64,23.82,20.17,9.07,17.56,22.90,19.39,20.61,65.70
1,8,2,1,1,7,0.5,0.83,0.83,0.83,1,1,1,1,1,1,1,0.67,1,1,1,1,0.83,1,0,1,1,1,0,1,1,1,26,1,0.56,1,1,1,0,0.83,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,1,0.83,0.17,,0.17,0.83,0.67,0.83,0.83,0.83,1,0.83,1,0.5,1,0.83,0.83,0.83,0.83,1,0.5,0.5,0.83,0.33,0.33,0.83,0.33,0.33,0.67,0.5,0.67,0.67,0.5,0.67,0.5,0.83,0.83,0.83,0.83,0.67,18,26,26,11,11.15,22.49,19.36,8.65,15.49,21.63,18.62,19.66,61.65
1,8,2,2,1,7,0.5,0.83,0.83,0.83,1,1,1,1,1,1,1,0.67,1,1,1,1,0.83,1,0,1,1,1,0,1,1,1,26,1,0.56,1,1,1,0,0.83,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,1,0.83,0.17,,0.17,0.83,0.67,0.83,0.83,0.83,1,0.83,1,0.5,1,0.83,0.83,0.83,0.83,1,0.5,0.5,0.83,0.33,0.33,0.83,0.33,0.33,0.67,0.5,0.67,0.67,0.5,0.67,0.5,0.83,0.83,0.83,0.83,0.67,18,26,26,11,11.15,22.49,19.36,8.65,15.49,21.63,18.62,19.66,61.65
1,7,2,1,1,7,0.83,0.67,0.67,0.5,0.83,0.83,0.83,0.67,0.33,0.33,0.5,0.33,0.33,0.5,0.5,0.83,0.83,0.83,0,1,1,1,1,0.83,1,0.83,26,0.5,0.78,1,1,1,0,1,1,1,0.83,1,1,1,0.83,0.83,0.83,0.83,0.17,,0.17,0.83,0.5,0.83,0.67,0.83,0.67,0.67,1,0.83,0.67,0.83,0.67,0.83,0.83,0.83,0.25,0.17,0.5,0.83,0.83,0.67,0.83,0.67,0.17,0.5,0.33,0.33,0.5,0.5,0.5,0.67,0.67,0.67,0.67,0.83,18,26,26,11,10.67,17.8,19.1,7.58,14.82,17.12,18.37,17.23,55.15
1,7,2,2,1,7,0.83,0.67,0.67,0.5,0.83,0.83,0.83,0.67,0.33,0.33,0.5,0.33,0.33,0.5,0.5,0.83,0.83,0.83,0,1,1,1,1,0.83,1,0.83,26,0.5,0.78,1,1,1,0,1,1,1,0.83,1,1,1,0.83,0.83,0.83,0.83,0.17,,0.17,0.83,0.5,0.83,0.67,0.83,0.67,0.67,1,0.83,0.67,0.83,0.67,0.83,0.83,0.83,0.25,0.17,0.5,0.83,0.83,0.67,0.83,0.67,0.17,0.5,0.33,0.33,0.5,0.5,0.5,0.67,0.67,0.67,0.67,0.83,18,26,26,11,10.67,17.8,19.1,7.58,14.82,17.12,18.37,17.23,55.15
0,0,0,0,0,0,0.83,0.83,0.83,0.83,1,1,1,0.67,0.67,0.5,0.5,0.5,0.5,0.5,0.75,1,1,0.83,0,1,1,0.83,0.67,0.83,1,1,26,0.57,0.67,0.75,0.5,0.83,0,1,0.83,1,0.67,1,0.83,0.83,0.83,0.83,0.67,0.83,0,,0,0.83,0.83,0.67,0.67,0.83,0.5,0.83,0.83,0.83,0.67,0.83,0.67,0.83,0.83,0.83,0.25,0.83,0.5,0.83,0.83,0.83,0.5,0.33,0.5,0.5,0.5,0.67,0.67,0.83,0.67,0.83,0.5,0.67,0.5,0.67,18,26,26,11,11.33,20.07,16.97,8.23,15.74,19.30,16.32,18.70,56.60
1,10,2,1,1,6,0.83,0.83,0.83,0.83,0.17,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.83,0.83,0.83,0,1,1,1,1,1,1,0.83,26,1,1,1,0.5,1,0,0.83,1,0.83,1,0.83,1,0.83,1,1,1,1,0.33,,0,1,1,1,1,1,0.67,1,1,0.83,0.83,0.83,0.83,0.83,0.83,1,1,0.83,0.5,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.5,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,13.29,20.45,20.82,9.81,18.46,19.66,20.02,22.30,64.37
1,10,2,2,1,6,0.83,0.83,0.83,0.83,0.17,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.83,0.83,0.83,0,1,1,1,1,1,1,0.83,26,1,1,1,0.5,1,0,0.83,1,0.83,1,0.83,1,0.83,1,1,1,1,0.33,,0,1,1,1,1,1,0.67,1,1,0.83,0.83,0.83,0.83,0.83,0.83,1,1,0.83,0.5,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.5,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,13.29,20.45,20.82,9.81,18.46,19.66,20.02,22.30,64.37
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.83,1,1,1,1,1,1,0,1,1,1,1,1,1,1,26,0.29,0.22,0.25,0,0.67,0,1,0.83,1,1,1,1,1,1,1,1,1,0.5,0,0.33,1,1,0.67,1,1,0.67,1,1,1,1,1,1,1,1,1,1,1,0.33,1,0.67,0,1,0.83,0.5,0.83,0.5,0.67,0.5,0.83,0.83,1,1,1,1,1,18,26,26,11,13.49,24.83,18.43,11,18.74,23.88,17.72,25.00,67.75
1,5,1,1,0,1,0.83,0.83,0.83,0.83,1,0.83,1,1,1,0.83,0.83,0.67,1,1,1,1,1,0.83,0,1,1,1,0.83,0.83,1,0.83,26,0.71,0.33,0.75,0.5,0.67,0,1,1,1,1,1,1,1,1,1,1,1,0.33,0,0.33,1,1,1,1,1,0.33,0.83,1,1,1,0.83,0.83,0.83,0.67,1,0,0.33,0.67,0.67,0.83,0.83,0.5,0.33,0.5,0.83,0.5,0.83,0.67,0.83,0.83,0.83,1,0.67,1,1,18,26,26,11,13.32,22.8,19.95,8.32,18.50,21.92,19.18,18.91,64.39
1,7,2,1,0,5,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0.5,0.5,0.5,0.5,0.83,0.75,0,1,1,1,0,1,1,0.83,1,0.83,1,1,26,0.86,0.44,1,0.5,1,0,1,1,1,0.83,0.83,1,1,0.83,0.83,0.67,0.83,0.83,,0.33,1,0.5,1,1,1,0.5,0.67,0.83,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0.17,0.5,0.5,1,0.83,0.83,0.83,0.5,0.5,0.5,0.67,0.83,0.83,0.83,0.83,0.5,0.5,0.83,0.67,18,26,26,11,12.48,19.72,19.78,7.65,17.33,18.96,19.02,17.39,59.63
1,7,2,2,0,5,0.83,0.83,0.83,0.83,0.83,0.83,0.67,0.83,0.5,0.5,0.5,0.5,0.83,0.75,0,1,1,1,0,1,1,0.83,1,0.83,1,1,26,0.86,0.44,1,0.5,1,0,1,1,1,0.83,0.83,1,1,0.83,0.83,0.67,0.83,0.83,,0.33,1,0.5,1,1,1,0.5,0.67,0.83,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0.17,0.5,0.5,1,0.83,0.83,0.83,0.5,0.5,0.5,0.67,0.83,0.83,0.83,0.83,0.5,0.5,0.83,0.67,18,26,26,11,12.48,19.72,19.78,7.65,17.33,18.96,19.02,17.39,59.63
1,2,1,1,0,5,0.67,0.67,0.67,0.5,1,1,0.83,1,0.5,0.83,0.67,1,0.83,1,0.5,0.83,0.83,1,0,1,1,0.83,0.83,0.67,1,0.67,26,0.86,0.78,1,0.5,1,0,1,1,1,0.67,0.83,0.83,1,0.83,0.83,1,1,0,,0.17,0.83,0.67,1,1,1,0.83,1,0.17,0.83,1,0.33,0.5,0.83,1,0.83,1,0.83,0.67,0.83,1,1,0.67,1,0.33,0.83,0.5,0.67,0.33,0.67,0.67,0.67,0.83,0.67,0.83,1,18,26,26,11,13.17,20.33,19.63,8.32,18.29,19.55,18.88,18.91,61.45
1,2,1,1,0,1,0.83,0.67,0.83,0.83,0.33,1,1,0.83,0.83,1,1,1,1,1,0.75,1,1,1,0,1,1,1,1,1,1,0.67,26,0.71,0.67,1,1,0.83,0,0.83,1,1,0.67,0.67,1,1,0.83,1,1,1,0.17,,0.5,0.83,0.67,0.83,0.67,0.83,0.33,0.83,1,0.83,1,1,0.83,1,0.83,0.83,0.75,0.33,0.83,1,1,1,0.33,0.83,0.5,0.5,0.5,0.83,0.67,0.83,0.83,0.83,0.67,0.67,0.67,0.67,18,26,26,11,13.16,22.57,19.04,9.23,18.28,21.70,18.31,20.98,64.00
1,3,1,1,0,6,0.67,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0.5,0.5,0.5,0,0,1,1,1,0,1,1,1,1,1,1,1,26,0.71,0.22,0.75,0.5,0.83,0,1,1,1,1,1,1,1,1,1,1,1,0.33,,0.17,1,0.5,1,1,1,0.5,1,1,1,0.83,0.83,0.83,0.83,0.83,1,1,0.67,0.83,0.17,0.83,0.83,0.5,0.5,0.5,0.5,0.5,0.67,0.33,0.83,0.83,0.83,1,1,1,1,18,26,26,11,12.65,19.15,19.51,9.82,17.57,18.41,18.76,22.32,61.13
1,12,2,1,1,7,0.83,1,0.83,1,0.83,0.83,0.83,1,0.83,0.67,0.67,0.83,0.83,1,0.75,0.83,0.83,0.83,0,1,1,1,0,0.5,1,0.83,26,0.86,0.56,1,0.5,1,0,1,1,1,1,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0,0,0.83,0.83,0.83,0.67,0.83,0.83,1,1,1,0.83,1,0.83,0.83,0.83,0.83,0.25,0.67,0.67,0.67,1,0.83,0.83,0.67,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,14.47,20.55,18.89,9.07,20.10,19.76,18.16,20.61,62.98
1,12,2,2,1,7,0.83,1,0.83,1,0.83,0.83,0.83,1,0.83,0.67,0.67,0.83,0.83,1,0.75,0.83,0.83,0.83,0,1,1,1,0,0.5,1,0.83,26,0.86,0.56,1,0.5,1,0,1,1,1,1,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.5,0,0,0.83,0.83,0.83,0.67,0.83,0.83,1,1,1,0.83,1,0.83,0.83,0.83,0.83,0.25,0.67,0.67,0.67,1,0.83,0.83,0.67,0.83,0.67,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,14.47,20.55,18.89,9.07,20.10,19.76,18.16,20.61,62.98
0,0,0,0,0,0,0.83,0.83,0.67,0.67,0.67,0.83,0.83,0.83,0.67,0.67,0.83,0.67,0.83,1,0.75,1,1,1,0,1,1,1,1,1,1,1,26,0.5,0.44,0.75,0.5,1,0,0.67,0.83,1,0.5,1,0.67,0.83,1,1,0.83,0.83,0.17,0,0.17,1,0.83,1,1,1,0.5,0.83,0.5,0.33,0.83,0.83,0.83,0.83,0.83,1,1,0.67,0.5,0.67,0.33,0.33,1,0.5,0,0.17,0.83,0.33,0.83,0.67,0.33,0.83,0.67,0.67,0.83,0.67,18,26,26,11,10.16,21.58,18.02,8.48,14.11,20.75,17.33,19.27,58.24
1,7,2,1,0,3,1,0.83,0.83,1,1,0.83,0.83,0.83,1,0.83,0.83,0.83,1,1,0.75,1,1,1,0,1,0.83,1,0.83,0.67,1,1,26,0.57,0.67,1,0.5,1,0,1,1,1,0.83,0.83,1,0.83,0.83,1,0.83,0.83,0.33,,0,0.83,0.67,0.83,0.67,0.83,0.5,1,1,0.33,0.83,0.83,0.83,1,0.67,0.83,0.5,0.17,0.5,0.17,0.33,0.67,0.83,0.33,0.83,0.83,0.83,1,0.83,1,0.83,1,0.83,0.83,0.83,0.83,18,26,26,11,13.3,22.72,18.38,7.99,18.47,21.85,17.67,18.16,62.39
1,7,2,2,0,3,1,0.83,0.83,1,1,0.83,0.83,0.83,1,0.83,0.83,0.83,1,1,0.75,1,1,1,0,1,0.83,1,0.83,0.67,1,1,26,0.57,0.67,1,0.5,1,0,1,1,1,0.83,0.83,1,0.83,0.83,1,0.83,0.83,0.33,,0,0.83,0.67,0.83,0.67,0.83,0.5,1,1,0.33,0.83,0.83,0.83,1,0.67,0.83,0.5,0.17,0.5,0.17,0.33,0.67,0.83,0.33,0.83,0.83,0.83,1,0.83,1,0.83,1,0.83,0.83,0.83,0.83,18,26,26,11,13.3,22.72,18.38,7.99,18.47,21.85,17.67,18.16,62.39
0,0,0,0,0,0,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1,1,0.83,0.83,0.83,0,1,1,1,1,1,1,0.83,26,0.71,0.56,1,0.5,0.83,0,1,1,1,0.83,1,0.83,1,0.5,0.83,0.67,0.83,0.17,,0.17,0.83,0.5,0.83,0.67,0.67,0.83,0.83,0.17,0.83,0.83,0.83,0.83,0.83,0.83,1,1,0.67,0.83,0.83,0.83,1,1,0.83,0.83,0.67,0.17,0.67,0.83,0.83,1,0.83,0.83,1,0.83,1,18,26,26,11,14.81,22.28,17.76,8.65,20.57,21.42,17.08,19.66,63.50
1,0,2,1,0,5,1,0.67,0.67,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.75,0.75,1,1,1,0,1,0.83,0.5,0.83,1,1,1,26,0.57,0.22,0.75,0.5,0.83,0,1,0.5,1,0.5,1,0.67,0.83,0.83,0.83,0.83,0.83,0,,0.33,0.83,0.83,0.83,0.67,1,0.67,0.83,1,0.5,0.83,0.83,0.83,0.83,0.83,1,1,0.5,0.5,0.67,1,1,1,0.5,0.5,0.83,0.67,0.67,0.33,0.33,0.33,0.5,0.83,0.83,0.83,0.83,18,26,26,11,12.15,20.97,16.85,8.98,16.88,20.16,16.20,20.41,58.95
1,0,2,2,0,5,1,0.67,0.67,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.75,0.75,1,1,1,0,1,0.83,0.5,0.83,1,1,1,26,0.57,0.22,0.75,0.5,0.83,0,1,0.5,1,0.5,1,0.67,0.83,0.83,0.83,0.83,0.83,0,,0.33,0.83,0.83,0.83,0.67,1,0.67,0.83,1,0.5,0.83,0.83,0.83,0.83,0.83,1,1,0.5,0.5,0.67,1,1,1,0.5,0.5,0.83,0.67,0.67,0.33,0.33,0.33,0.5,0.83,0.83,0.83,0.83,18,26,26,11,12.15,20.97,16.85,8.98,16.88,20.16,16.20,20.41,58.95
0,0,0,0,0,0,0.67,0.67,0.83,0.67,0.83,1,0.83,0.67,1,0,0.5,0.67,1,0.5,0.75,1,1,1,0,0.83,0.83,1,1,1,1,0.83,26,0.57,0.44,1,0.5,1,0,0.83,0.67,0.83,0.83,1,0.83,0.83,1,1,1,1,0.67,0,0.17,1,0.83,0.83,0.83,1,0.5,0.67,0.5,0.83,0.67,0.83,0.83,0.83,0.67,0.33,0.25,0,1,1,0.33,0.83,0.83,0.33,0.17,0.33,0.83,0.83,0.5,0.83,0.83,0.83,0.83,0.83,0.83,0.83,18,26,26,11,12.79,20.08,19.16,6.41,17.76,19.31,18.42,14.57,58.44
1,2,1,3,0,3,0.83,0.83,1,0.83,1,1,1,1,1,0.83,0.83,1,0.83,1,1,1,1,1,0,1,1,1,1,1,1,1,26,0.5,0.5,1,1,1,0,1,0.83,1,1,1,1,1,1,1,1,1,0.5,,1,1,1,1,0.5,1,0.5,1,1,0.5,1,1,1,1,1,1,1,0.67,0.5,0.5,0.67,0.83,0.5,0.5,0.83,0.67,0,1,0.83,1,1,1,1,1,1,1,18,26,26,11,13.83,23.98,21.33,10.17,19.21,23.06,20.51,23.11,69.31
1,0,1,1,0,4,0.83,0.83,0.67,0.83,0.67,1,1,1,1,0.67,0.83,0.67,0.67,0,1,0.83,0.83,0.83,0,1,0.83,1,0.83,0.67,0.83,0.67,26,0.14,0.22,0.5,1,0.83,0,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.83,1,0.67,1,0.33,0,0,1,0.83,0.67,0.67,0.83,0.83,0.83,0.83,0.5,0.83,0.83,0.67,0.83,0.83,0.83,0.25,0.5,0.67,0.5,0.83,0.83,0.33,0.83,0.67,0.5,0.67,0.67,0.33,0.5,0.5,0.83,0.83,0.83,0.83,0.67,18,26,26,11,11.82,19.99,16.84,7.73,16.42,19.22,16.19,17.57,56.38
1,11,2,1,1,5,0.5,0.5,0.67,0.33,0.33,0.83,0.83,0.83,0.5,0.33,0.67,0.83,0.83,1,1,0.83,0.83,0.83,0,0.5,1,0.5,0,0.17,1,0.67,26,0.29,0.44,1,1,0.83,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,0.83,0.83,0.33,0.5,0.5,0.17,0.67,1,0.5,0.67,0.5,0.67,0.83,0.67,1,1,0.5,0.67,0.5,1,1,0.33,0.83,0.5,0.33,0.33,0.83,0.17,0.33,0.5,0.5,0.5,0.5,0.5,0.5,18,26,26,11,9.82,16.31,17.89,8.01,13.64,15.68,17.20,18.20,52.03
1,11,2,2,1,5,0.5,0.5,0.67,0.33,0.33,0.83,0.83,0.83,0.5,0.33,0.67,0.83,0.83,1,1,0.83,0.83,0.83,0,0.5,1,0.5,0,0.17,1,0.67,26,0.29,0.44,1,1,0.83,0,1,1,1,1,1,1,1,1,1,1,1,0.17,,0,0.83,0.83,0.33,0.5,0.5,0.17,0.67,1,0.5,0.67,0.5,0.67,0.83,0.67,1,1,0.5,0.67,0.5,1,1,0.33,0.83,0.5,0.33,0.33,0.83,0.17,0.33,0.5,0.5,0.5,0.5,0.5,0.5,18,26,26,11,9.82,16.31,17.89,8.01,13.64,15.68,17.20,18.20,52.03
1,14,1,3,0,7,0.83,0.83,1,0.83,0.83,1,0.67,1,1,0.5,1,1,1,1,1,0.83,0.83,0.67,0,1,1,1,1,1,1,1,26,0.57,0.22,1,0.5,0.83,0,1,0.5,1,0.83,1,0.83,1,1,1,0.83,1,1,,0.5,1,1,1,0.83,1,0.83,1,0.17,0.17,1,1,0.83,1,1,0.83,0.5,0.17,0.67,0.33,0.83,0.83,0.83,0.83,0.83,0.33,0.83,0.83,1,1,1,1,0.83,0.83,0.83,0.83,18,26,26,11,14.46,22.82,20.27,7.67,20.08,21.94,19.49,17.43,65.22
